Description,GroundTruth,Ratings,Review Date,Review Title,Site
"nice atmosphere and decorations, nice people-customers, long list of wines but the main dishes are unremarkable and the salads are not even passable...
and everything is overpriced!",negative,3,4-Sep-19,just... moderate tastes,
A very warm welcome made by the staff. Very friendly explained all the dishes and especially what the traditional Greek dishes are. Also received great tips for places to visit in the region.,positive,5,2-Sep-19,Wonderfull introduction to the city of Larissa,
In the city center reachable on foot. The menu is carefully chosen with Greek and international flavors.,positive,5,4-Jun-19,The ideal place for business branch. You can also choose privacy. A great variety of wines.,
The restaurant is located at the center of the city of Larisa on Post Square. The decoration of the restaurant is minimal but very relaxing. The food and the service is very good. There is a nice and long bar where you can seat and...More,positive,4,13-Apr-19,Nice decorated restaurant with variety of wines.,
"My favorite place in Larissa. Excellent food and service. Live jazz band was outstanding. The owner, Christos, is awesome. Panagiotos has been our waiter for two visits here and is always pleasant and well informed on the food and wine. I highly recommend a visit...More",positive,5,19-Sep-18,Fantastic,
"The worst place for drinks and food. I order soup, tartare and parol - was everything spoiled. You should be talant for to spoil Aperol Spriz, but they did. Waiting of tartare take more than 40min, soup was very untasty. I don’t recomendate this place....More",negative,1,14-Apr-18,Worst place,
"We are frequent visitors whenever we are in Larissa. Decent Sommelier Nectarious always suggested the best wines, though he has moved on now.
However, they offer the best selection of wine in Larisa and staff are great. Fab for a romantic night or a great...More",positive,5,23-Nov-17,Best place in Larisa for a drink,
"This is a place that makes the change in Larisa. Impeccable service, very good kitchen of chef level and a great Wine list mostly of Greek etiquettes that are not so common. 
So if you drop by, don't hesitate. 
Strongly recommended.",positive,5,6-Nov-17,Above expectations. ,
"Just winebar is ideally located at the heart of Larissa. Food is very good (not breathtaking though...), place is beautiful, nice people around creating good vibes and very attentive and professional manager being around to solve any problems.  The negative point was that the service...More",positive,4,26-Jun-17,Slow service,
"My first visit to this lively bar / restaurant, centrally situated with lovely food, great atmosphere, knowledgeable staff with a special shout out to the General Manager Nektarios very entertaining and a real foodie, a great evening.",positive,5,16-Mar-17,"Great location,  incredible staff and service",
"Everything is beautifull, the atmosphear, the drinks, the servise .. Everything.
Why I reviewed this place with only 2 stars? Due the fact that accept smoking on this area....! unacceptable..... It's pitty and shame..More",negative,2,14-Feb-17,Interesting but not enough.,
"Nice place for coffee but also for food and drink
It is in the center of Larissa 
Nice burger and wineMore",positive,5,13-Feb-17,"Coffee,food,drink",
"We had a delicious hot chocolate after lunch, during our business trip. It was one of the best ones I have ever tasted. The staff were nice and the atmosphere was calming after a difficult work day.I regret it that we were not hungry to...More",positive,5,6-Jan-17,nice and calming place,
"A very nice place for dining, delicious food and friendly helpful staff. Highly recommended. Thanks for the nice experience",positive,5,5-Jan-17,Very nice place,
"Nice ambience and delicious food and great wine for casual or fine dining. Great service by staff and really good greek and continental european food. A little crowded when full, good location in city center so you can shopping or go for a stroll in...More",positive,4,28-Nov-16,Nice restaurant for modern & classic greek food.,
"We visited the place 2 times during our short stay in Larisa.
Once at night an once during lunch time.
During our night visit, we ordered 3 glasses of wine (€5 each) and a small cheese platter (€10 approx). 
For our lunch we had a...More",positive,4,24-Nov-16,Relaxing place,
Each time I've been in that restaurant i had a very great moment (last time with 11 friends). The food is delicious and they have good wines. Service is perfect and the owner is very friendly. Certainly the best restaurant in Larissa.,positive,5,8-Nov-16,Best place,
"As a New Yorker, we like diversity. This is the place for us. Not for those who like classic Greek food. Here you come to enjoy a meal with quality and taste. The manager was very helpful and friendly. He took time to explain how...More",positive,5,14-Oct-16,Fine dining,
"Just Winebar, for amateur or for wine lover, no it's not only a wine bar, it's also one of the best restaurant of Larissa, this nice town with many history, on the road to the Meteoras, a town to visit, and also this excellent restaurants,...More",positive,5,1-Oct-16,Just Winebar / Larissa,
"Perfect, very kind they even reserved hotel for us, ald help. Food is the best. Mor than 200 wines in choice. Nice location in town centerMore",positive,5,22-Sep-16,Karlo kraljevic,
"When we entered the restaurant we first were a kind of sceptic. A look at the menu and we were a little bit confused. Sashimi? In Larissa? Well, since we love asian food we were brave enough to give it a try. I must say:...More",positive,5,17-Sep-16,Wow - what a nice evening!,
"Interesting menu,great wine list, soft music, friendly environment, comfortable seats, located at the center of Larissa .",positive,4,1-Sep-16,Atmospheric restaurant,
"I have been to Just Winebar several times during my visit to Greece! Winter and summer! Same feeling! I prefer to seat at the beautiful bar elegant and comfy reminds me of some old English clubs! Service is always good , wine taste better when...More",positive,5,24-Aug-16,Relax and enjoy the wine,
"I've been in Greece for a week with my older children, their significant others and my 9 year old granddaughter.  We were seeking good food and good wine and, based on other tripadvisor reviews, thought we'd try it. There is almost nothing even remotely negative...More",positive,5,23-Aug-16,"Great English speaking proprietor, fantastic food and wine",
Food was really well done and the service was exceptional as well. Would definitely come again    The risotto and mousse are a mustMore,positive,4,15-Aug-16,"Very nice restaurant, good service ",
"We visited this great place in June. We enjoyed the delicious meals and the splendid wines, which are very democraticly priced. Perfect service. The waitress was a good help in choosing the right wine. The general manager Mr. Papanikolaou welcomed us personaly and took the...More",positive,5,15-Aug-16,Great place,
"Larisa may not be an obvious choice for any traveler, and this is understandable. But there are still some fine establishments to be found there. Just Winebar is one of the best you can find there. With its great variety of wines, knowledgeable and helpful...More",positive,5,8-Aug-16,One of the two or three best that Larisa has to offer,
We used this bar restaurant for our reception with my fiancé. We had our friends. The head of the restaurant really awesome. Simple marvelous. Plenty wine and food. Fantastic environment and fantastic musicMore,positive,5,28-Jul-16,Marvelous dinner. ,
"Extremely nice variety of wine
Nice atmosphere and service. Very good food
The music outstanding to my taste. 
The prices a bit high compared to prices to near by restaurants. 
Highly recommendedMore",positive,5,27-Jun-16,Awsome,
"Really good food!! There was tasty plates and fresh salads. Best restaurants in Larissa. Delicious food! 
Keep the Good work!!More",positive,5,10-Jun-16,Really good food!!,
Just Winebar is located in a vibrant area in the centre of Larissa close to many restaurants and bars. It was one of a number of TripAdvisor recommended restaurants that I visited during two weeks in Larissa. The food was nice with large portions and...More,positive,4,21-May-16,Very good food but expensive in comparison to nearby restaurants,
"so, sitting at Frankfurt airport Tuesday morning heading to Larissa for a couple days business. what's best restaurant in town? turn to TA and read about Just Winebar. Looks great so let's give it a go. Arrive and immediately see a great location in a...More",positive,5,17-May-16,Just Winebar-Just Awesome!,
"Excellent atmosphere, top service and the best quality in wines and finger food.
We chose the cheese and meat platter, everything was exceptional.
Well done!More",positive,5,18-Mar-16,Business dinner,
There is a romantic atmosphere in the center of the town. You can eat delicious food and listen to a lovely music. The staff is excellent.More,positive,5,15-Mar-16,An exceptional restaurant-bar,
Very nice plase good food with a nice atmosfaira and music in the center of the town for bisiness launcheMore,positive,5,15-Mar-16,!!!!!!!,
"Right in the center of the city, this is a very nice place to eat or drink. Very good and polite service, great variety of drinks and wines and many good choices to eat.More",positive,5,12-Feb-16,"Great environment, good service and good food.",
"A rather classy upmarket wine bar/restaurant in Protopapadaki 6 in central Larissa in a square with fountains, restaurants and retail all around.
We were a group of 8 - Australian, Brazilian and from Denmark -out for an early dinner (6.30pm - early by Greek standard)....More",positive,5,23-Oct-15,Seriously good Italian food - trendy upmarket eatery,
"Located right in the heart of the town.  Great food served with great wines. Staff perfect attendance - Owner really loves his work and makes each visit very enjoyable with his personal touch.
Will certainly visit again next time I visit Larissa.More",positive,5,15-Sep-15,Great service and fantastic new menu,
The just.winebar Restaurant is small but nice. Its a very nice little Restaurant where you can sit outside and take with your friends and have fun. The staff is very  polite. If you are in larissa you've got to visit the just.winebar and one tipp:...More,positive,5,9-Sep-15,Small but nice,
"What a lovely place to relax with your friends, the ambience is very  stylish and as you enter you recognize immediately that this place will offer something special.
And indeed the food is outstanding, service great and the selection of fine wine is impressive.
But...More",positive,5,28-Aug-15,"What a loevely evening, thanks to Nektarios and his team.",
"A really beautiful place, prompt service so as professional with very good knowledge of their specialty. Fine quality food really well cooked and a large wine list with more than 200 kinds of wine exceptionally Greek. But most of all a great value for money,...More",positive,5,24-Aug-15,"A really beautiful place, prompt service so as professional with very good knowledge of their specialty",
For the second time we've visited this bar/restaurant and once again we're looking forward for the next time ! The last time we came with a group of 23 wine lovers and it was again a marvellous experience. Excellent combination of wine and food. Lovely...More,positive,5,31-May-15,Not 'just wine' also food !,
"Just go for the amber light, classy atmosphere, nice wines and food. Nektarios, the multilingual host, will help you travel through his list of various nectars...More",positive,5,30-May-15,Classy place,
"Noticed this late one evening and came for lunch the next day. The wine list was superb, and the knowledge and recommendations of the waitress were excellent. Food was great too. And Nektarios made the experience even better - he is an excellent manager. Highly...More",positive,5,23-May-15,"Excellent, a must visit!",
"Its been almost 4 months since i was in Larissa but every time I think about Just Winebar it brings back pleasant memories. Everything was just perfect there, in fact so perfect that i ended up eating there 17 times in the 10 days that...More",positive,5,12-Apr-15,A must visit !!,
I was thrilled when I discovered such an amazing place in Larissa. I was impressed by testing the food and discovering the huge wine list from Greece. The people were extremely friendly and the prices very reasonable. I strongly recommend it!More,positive,5,27-Feb-15,An interesting place in Larissa,
"I was delighted to discover this unique place in Larisa. I saw a lot of places in central Greece but this one is my #1 choice. 

Extremely exquisite, the personnel is vey knowledgeable and pleasant. I will definitely come back and couldn't recommend it more....More",positive,5,27-Feb-15,"Amazing experience, unique place to enjoy Greece",
"A thoughtful attempt to introduce wine to a public on non-connoisseurs. They offer a wide variety of wine choices to combine with a balanced menu. The decor is excellent, and you can always sit at the bar to enjoy only one glass of wine, at...More",positive,4,18-Feb-15,Decent surroundings,
A very nice restaurant in the heart of Larisa. The service is excellent and the taste of food is very good. The whole place is warm and lovely for a nice lunch or dinner.,positive,4,18-Feb-15,Very good restaurant,
"I went to this restaurant just because it was the best rated in the Larisa at tripadvisor and the comments I read looked quite trustworthy. As a food lover, i could't skip the chance to see it by myself.  Now that i've already eaten, i...More",positive,5,27-Jan-15,Fantastic Food!,
"One of the best restaurants I have ever been in Greece!

We had dinner and stayed there for almost 2.5 hours! The atmosphere was great, it was very relaxing and even though it was a busy night it felt quiet and enjoyable. We had a...More",positive,5,28-Dec-14,One of the best restaurants I have ever been,
"Not to be missed if you are in Larissa. Wonderful ambience, sophisticated and trendy, great service and delicious food. If you are interested in where the food and wines are sourced Nektarios the manager is wonderfully helpful and I will be going back next time...More",positive,5,4-Oct-14,Will go again,
"By far the best choice in Larissa. Great atmosphere, excellent list of wine and good food, although the last could be even better. What really makes the difference is the exceptional service and the atmosphere the staff will create for you. Do not miss it.More",positive,5,26-Jul-14,The place to be when in Larissa,
"I was honestly taken aback by the quality and variety of dishes on offer and even more impressed by the wine list...
In a nutshell, savoury, quality food with a fine selection of local products (do try their sausage platter!) and a particularly impressive choice...More",positive,5,21-Jun-14,Sophisticated atmosphere and superb selection of wines,
"Situated on one of the main squares of the city, it attracts you at first sight. Very noble, still modern decoration, warm and calm lighting inside and outside, makes it an excellent all seasons choice. Plates that honor the Mediterranean taste, amazing choice of wines...More",positive,5,14-Jun-14,My best choice in Larissa,
"Got there a couple of times. Fantastic interior, very kind personnel. The owner is chatting with the customers making sure they are satisfied. Personnel knows about wine, its not just red and white...Even the toilets are very nicely decorated as well as the private upstairs...More",positive,4,27-Apr-14,Phenomenal place for the city,
"Excellent atmosphere, excellent wine variety, tasty and value for money food, excellent and very friendly service",positive,5,9-Feb-14,Excellent,
"A family run business that has given Larissa a modern youthful yet eclectic vibe to an otherwise unexplored city in the heart of Greece. With an amazing choice of both regional, national & international wines, it boasts an upstairs conference area with glass sound baffled....More",positive,5,13-Nov-13,A true fusion of Mediterranean/French ambience!,
"Last night went with a friend just for a bottle of wine and we were positively surprised. A great spot in the center of Larissa for wine lovers. The service was kind, professional, friendly and helpful with several proposals for combinations of food with wine....More",positive,5,13-Sep-19,High level wine bar,
"nice atmosphere and decorations, nice people-customers, long list of wines but the main dishes are unremarkable and the salads are not even passable...
and everything is overpriced!",negative,3,4-Sep-19,just... moderate tastes,
A very warm welcome made by the staff. Very friendly explained all the dishes and especially what the traditional Greek dishes are. Also received great tips for places to visit in the region.,positive,5,2-Sep-19,Wonderfull introduction to the city of Larissa,
In the city center reachable on foot. The menu is carefully chosen with Greek and international flavors.,positive,5,4-Jun-19,The ideal place for business branch. You can also choose privacy. A great variety of wines.,
The restaurant is located at the center of the city of Larisa on Post Square. The decoration of the restaurant is minimal but very relaxing. The food and the service is very good. There is a nice and long bar where you can seat and...More,positive,4,13-Apr-19,Nice decorated restaurant with variety of wines.,
"My favorite place in Larissa. Excellent food and service. Live jazz band was outstanding. The owner, Christos, is awesome. Panagiotos has been our waiter for two visits here and is always pleasant and well informed on the food and wine. I highly recommend a visit...More",positive,5,19-Sep-18,Fantastic,
"The worst place for drinks and food. I order soup, tartare and parol - was everything spoiled. You should be talant for to spoil Aperol Spriz, but they did. Waiting of tartare take more than 40min, soup was very untasty. I don’t recomendate this place....More",negative,1,14-Apr-18,Worst place,
"We are frequent visitors whenever we are in Larissa. Decent Sommelier Nectarious always suggested the best wines, though he has moved on now.
However, they offer the best selection of wine in Larisa and staff are great. Fab for a romantic night or a great...More",positive,5,23-Nov-17,Best place in Larisa for a drink,
"This is a place that makes the change in Larisa. Impeccable service, very good kitchen of chef level and a great Wine list mostly of Greek etiquettes that are not so common. 
So if you drop by, don't hesitate. 
Strongly recommended.",positive,5,6-Nov-17,Above expectations. ,
"Just winebar is ideally located at the heart of Larissa. Food is very good (not breathtaking though...), place is beautiful, nice people around creating good vibes and very attentive and professional manager being around to solve any problems.  The negative point was that the service...More",positive,4,26-Jun-17,Slow service,
"Last night went with a friend just for a bottle of wine and we were positively surprised. A great spot in the center of Larissa for wine lovers. The service was kind, professional, friendly and helpful with several proposals for combinations of food with wine....More",positive,5,13-Sep-19,High level wine bar,
"nice atmosphere and decorations, nice people-customers, long list of wines but the main dishes are unremarkable and the salads are not even passable...
and everything is overpriced!",negative,3,4-Sep-19,just... moderate tastes,
A very warm welcome made by the staff. Very friendly explained all the dishes and especially what the traditional Greek dishes are. Also received great tips for places to visit in the region.,positive,5,2-Sep-19,Wonderfull introduction to the city of Larissa,
In the city center reachable on foot. The menu is carefully chosen with Greek and international flavors.,positive,5,4-Jun-19,The ideal place for business branch. You can also choose privacy. A great variety of wines.,
The restaurant is located at the center of the city of Larisa on Post Square. The decoration of the restaurant is minimal but very relaxing. The food and the service is very good. There is a nice and long bar where you can seat and...More,positive,4,13-Apr-19,Nice decorated restaurant with variety of wines.,
"My favorite place in Larissa. Excellent food and service. Live jazz band was outstanding. The owner, Christos, is awesome. Panagiotos has been our waiter for two visits here and is always pleasant and well informed on the food and wine. I highly recommend a visit...More",positive,5,19-Sep-18,Fantastic,
"The worst place for drinks and food. I order soup, tartare and parol - was everything spoiled. You should be talant for to spoil Aperol Spriz, but they did. Waiting of tartare take more than 40min, soup was very untasty. I don’t recomendate this place....More",negative,1,14-Apr-18,Worst place,
"We are frequent visitors whenever we are in Larissa. Decent Sommelier Nectarious always suggested the best wines, though he has moved on now.
However, they offer the best selection of wine in Larisa and staff are great. Fab for a romantic night or a great...More",positive,5,23-Nov-17,Best place in Larisa for a drink,
"This is a place that makes the change in Larisa. Impeccable service, very good kitchen of chef level and a great Wine list mostly of Greek etiquettes that are not so common. 
So if you drop by, don't hesitate. 
Strongly recommended.",positive,5,6-Nov-17,Above expectations. ,
"Just winebar is ideally located at the heart of Larissa. Food is very good (not breathtaking though...), place is beautiful, nice people around creating good vibes and very attentive and professional manager being around to solve any problems.  The negative point was that the service...More",positive,4,26-Jun-17,Slow service,
Previously I visited Adamos you definitely feel the culture and the preservation of tradition in this restaurant.  They have amazing food its a must to visit for tourist.  Me myself love the place ambiance and food.  But this time since the weather was not that...More,positive,5,15-Feb-19,Delivery from Adamos,
"Amazing food, a representative example of the good Greek cuisine. Very neat environment and great service! Must stop for whoever passes by from Larissa!",positive,5,21-Nov-18,Great food!,
"to have lunch in this restaurant where you can feel that they respect themselves and the client.Everything was great,Really.I will definatelly go again when i visit this area in the future.",positive,5,18-Oct-18,Great idea,
"The lamb was great and very tender. Keep in mind that in Larissa apparently they use vinegar in the ""Greek salad"" so if you are not a fan then you should let the waiters know beforehand. The staff very welcoming and nice. Truly a great...More",positive,5,23-Sep-18,Great lamb and kontosouvli,
"One of the best places in Larissa to try the local cuisine, and have a first hand experience of the art of grilled chicken and meat.",positive,5,30-Jun-18,Simply amazing!!!,
"Best meat ever! Roasted chicken, perfect lamp, kontosouvli, kokoretsi and all the traditional grilled meat!",positive,5,3-Mar-18,Restaurant,
During my visit to Larissa I looked at my trusty trip advisor app and saw that this establishment was #1 so had to make it part of my visit. I had a difficult time finding at first because it's located more in an alley way...More,positive,4,25-Jul-17,Meat by the Kilo!,
When you are hungry you can get there and have some good quality piece of meat along with the soft drink that you desire.,positive,4,10-Jul-17,tasty,
"An all time classic, very rare to find similar places in Greek cities. Perfect grill, you have to try Kokoretsi, grilled lamp or goat and traditional cheese and salads. Absolute a must!",positive,5,15-Mar-17,"Classic old style grill ""souvla"" restaurant ",
"The best local tavern. Lamb & kokoretsi best dishes ever. Juicy, moist, tender and extraordinary taste. Prices are unbelievably cheap! A great local experience!",positive,5,13-Feb-17,The best local tavern.,
Fantastic roasted meat! Best roasted things you can find in the city! Amazing people and service! I always get takeaway there so not much to say about the sitting space! Please do not miss if you are in the city! Recently renovated space worths a...More,positive,5,24-Dec-16,Lamb & kokoretsi always!!!!,
"If you love bbq meat this is the place to be. Nearly a century old they serve the most tender slowly cooked meat ever.  We had lamb.. Juicy,  moist,  tender and extraordinary taste. It is a well known spot with the locals and commands respect....More",positive,5,2-Dec-16,Best lamb in town ,
This is a typical local tavern. The portions are generous. We have had a great chicken grill and Greek salad. So fresh and satisfying.Thank you!,positive,5,13-Nov-16,Delicious food for reasonable price,
Good restaurant for a diner between friends. A menu with not a lot of dishes (that means quality) and good cocktails (spring morito is my favourite). Service is great and you can order in take away.,positive,4,8-Nov-16,Nice restaurant ,
"I am a regular at Adamos. Delicious food, mouth watering! The quality is always great! Perfect hospitality, the owners are attentive and friendly, and so are the waiters! It is highly recommended !! 5 stars from me!",positive,5,19-Oct-16,Exellent in every way!!!,
"This place has got something special. It manages to keep alive the spirit of its past and offers it to the new generation to appreciate.

The roast lamb is always to die for and the kokoretsi, lamb spits and even the pork spits (souvles) is...More",positive,5,19-Oct-16,"Amazing Spit Roast place, a must visit.",
"Great quality, great staff with knowledge and passion for food. Certainly the best option for food lovers. For a great and a trully memorable experience just pop in. Highly recommended!!",positive,5,19-Oct-16,Great as always,
"Great atmosphere in a tipical greek restaurant wiht excellent grillades, the savoured food
is traditional, try the lamb with authentic flavours, a real delice, a speciality of the house; a select place in Larisa..",positive,5,1-Oct-16,Adamoa / Larisa,
"It certainly is a must when visiting Larisa !  You may have any meat you like on the spit, and be sure that it will be perfectly cooked !!",positive,5,14-Jun-16,Mono souvla !!,
"The restaurant looked closed this evening, but the door was open and there was cooked food in the window. So I went in and got takeaway. An incredibly juicy chcken and lamb so succulent it literally fell off the bone. 

Don't be put off by...More",positive,4,19-May-16,Lovely juicy food,
"Delicious Greek food at its best...an all time classic.
If you want to explore pure Greek tastes...that's the place",positive,5,26-Oct-15,Just great,
"A perfect grill served on the table on a tranquile pedestrian alley. We served grilled chicken and lamb meat with tzatziki and greek salad. Simple, tasteful and served on time. Three persons meals under 30 euros.
Left with regret that were not able to eat...More",positive,5,1-Sep-15,Great grill,
"By definition, the best traditional pit roast (souvla) tavern in Larissa. Serving local meat products, in an authentic decorated hall. Gastronomic experience in the heart of the city. 3rd generation family owned and operated.",positive,5,18-Aug-15,Simply the Best,
The lamb was perfectly cooked as well as the chicken!The atmosphere was very friendly! The prices are very cheap. If you visit Larissa  you must eat in Adamos,positive,5,25-Jul-15,Excellent food in the center of Larissa,
Our very friendly waiter started to suggest dishes and we chorused Lamb! We visited because this place was so highly rated on Tripadvisor and because we love lamb. We were not disappointed. This place is simple and straight forward. There is lamb and there is...More,positive,5,18-Mar-15,Lamb!,
"I have known this taverna for more than 50 years and I have never stopped going there. Now The third generation is running the place. Lamb on a spit , kebap and kokoretsi are a must. It is easy to find just 50 meters from...More",positive,5,13-Dec-14,Adamos means lamb on a spit.,
"For many years it is famous for its roast chickens and lambs.  Nice old atmosphere, quick and gently service, very normal prices, it really deserves every Euro that you give.",positive,5,3-Dec-14,Best roast chicken in Greece!,
A must place to eat in the city of Larisa. Amazing tastes and an excellent welcome from the owners! We have tried almost everything and we were never dissapointed.,positive,5,1-Dec-14,Quality and tradition,
"That was a great dinner! Especially if you are fan of meat, that is your paradise. Good prices and good service.",positive,5,20-Jul-14,Excellent!,
"Very good chicken and the price is good! We eat outside, in September is perfect! We order chicken and Greek beer! We spent only 13 euro!INCREDIBLE",positive,5,21-Sep-13,The best roast chicken,
"Its for people who want to eat somethink uniq and tastfull. Welldone to all !!! 
Song for such a place is only the "" you spin me round round "" 
You ll find out soon why !!",positive,5,20-Jun-13,One of a kind !!!,
"Authentic Greek and well Cooked! Plenty of charcoal choice as well as vegetarian delicacies!

Thank you",positive,5,28-Jun-12,Excellence,
Previously I visited Adamos you definitely feel the culture and the preservation of tradition in this restaurant.  They have amazing food its a must to visit for tourist.  Me myself love the place ambiance and food.  But this time since the weather was not that...More,positive,5,15-Feb-19,Delivery from Adamos,
"Amazing food, a representative example of the good Greek cuisine. Very neat environment and great service! Must stop for whoever passes by from Larissa!",positive,5,21-Nov-18,Great food!,
"to have lunch in this restaurant where you can feel that they respect themselves and the client.Everything was great,Really.I will definatelly go again when i visit this area in the future.",positive,5,18-Oct-18,Great idea,
"The lamb was great and very tender. Keep in mind that in Larissa apparently they use vinegar in the ""Greek salad"" so if you are not a fan then you should let the waiters know beforehand. The staff very welcoming and nice. Truly a great...More",positive,5,23-Sep-18,Great lamb and kontosouvli,
"One of the best places in Larissa to try the local cuisine, and have a first hand experience of the art of grilled chicken and meat.",positive,5,30-Jun-18,Simply amazing!!!,
"Best meat ever! Roasted chicken, perfect lamp, kontosouvli, kokoretsi and all the traditional grilled meat!",positive,5,3-Mar-18,Restaurant,
During my visit to Larissa I looked at my trusty trip advisor app and saw that this establishment was #1 so had to make it part of my visit. I had a difficult time finding at first because it's located more in an alley way...More,positive,4,25-Jul-17,Meat by the Kilo!,
When you are hungry you can get there and have some good quality piece of meat along with the soft drink that you desire.,positive,4,10-Jul-17,tasty,
"An all time classic, very rare to find similar places in Greek cities. Perfect grill, you have to try Kokoretsi, grilled lamp or goat and traditional cheese and salads. Absolute a must!",positive,5,15-Mar-17,"Classic old style grill ""souvla"" restaurant ",
"The best local tavern. Lamb & kokoretsi best dishes ever. Juicy, moist, tender and extraordinary taste. Prices are unbelievably cheap! A great local experience!",positive,5,13-Feb-17,The best local tavern.,
Previously I visited Adamos you definitely feel the culture and the preservation of tradition in this restaurant.  They have amazing food its a must to visit for tourist.  Me myself love the place ambiance and food.  But this time since the weather was not that...More,positive,5,15-Feb-19,Delivery from Adamos,
"Amazing food, a representative example of the good Greek cuisine. Very neat environment and great service! Must stop for whoever passes by from Larissa!",positive,5,21-Nov-18,Great food!,
"to have lunch in this restaurant where you can feel that they respect themselves and the client.Everything was great,Really.I will definatelly go again when i visit this area in the future.",positive,5,18-Oct-18,Great idea,
"The lamb was great and very tender. Keep in mind that in Larissa apparently they use vinegar in the ""Greek salad"" so if you are not a fan then you should let the waiters know beforehand. The staff very welcoming and nice. Truly a great...More",positive,5,23-Sep-18,Great lamb and kontosouvli,
"One of the best places in Larissa to try the local cuisine, and have a first hand experience of the art of grilled chicken and meat.",positive,5,30-Jun-18,Simply amazing!!!,
"Best meat ever! Roasted chicken, perfect lamp, kontosouvli, kokoretsi and all the traditional grilled meat!",positive,5,3-Mar-18,Restaurant,
During my visit to Larissa I looked at my trusty trip advisor app and saw that this establishment was #1 so had to make it part of my visit. I had a difficult time finding at first because it's located more in an alley way...More,positive,4,25-Jul-17,Meat by the Kilo!,
When you are hungry you can get there and have some good quality piece of meat along with the soft drink that you desire.,positive,4,10-Jul-17,tasty,
"An all time classic, very rare to find similar places in Greek cities. Perfect grill, you have to try Kokoretsi, grilled lamp or goat and traditional cheese and salads. Absolute a must!",positive,5,15-Mar-17,"Classic old style grill ""souvla"" restaurant ",
"The best local tavern. Lamb & kokoretsi best dishes ever. Juicy, moist, tender and extraordinary taste. Prices are unbelievably cheap! A great local experience!",positive,5,13-Feb-17,The best local tavern.,
Previously I visited Adamos you definitely feel the culture and the preservation of tradition in this restaurant.  They have amazing food its a must to visit for tourist.  Me myself love the place ambiance and food.  But this time since the weather was not that...More,positive,5,15-Feb-19,Delivery from Adamos,
"Amazing food, a representative example of the good Greek cuisine. Very neat environment and great service! Must stop for whoever passes by from Larissa!",positive,5,21-Nov-18,Great food!,
"to have lunch in this restaurant where you can feel that they respect themselves and the client.Everything was great,Really.I will definatelly go again when i visit this area in the future.",positive,5,18-Oct-18,Great idea,
"The lamb was great and very tender. Keep in mind that in Larissa apparently they use vinegar in the ""Greek salad"" so if you are not a fan then you should let the waiters know beforehand. The staff very welcoming and nice. Truly a great...More",positive,5,23-Sep-18,Great lamb and kontosouvli,
"One of the best places in Larissa to try the local cuisine, and have a first hand experience of the art of grilled chicken and meat.",positive,5,30-Jun-18,Simply amazing!!!,
"Best meat ever! Roasted chicken, perfect lamp, kontosouvli, kokoretsi and all the traditional grilled meat!",positive,5,3-Mar-18,Restaurant,
During my visit to Larissa I looked at my trusty trip advisor app and saw that this establishment was #1 so had to make it part of my visit. I had a difficult time finding at first because it's located more in an alley way...More,positive,4,25-Jul-17,Meat by the Kilo!,
When you are hungry you can get there and have some good quality piece of meat along with the soft drink that you desire.,positive,4,10-Jul-17,tasty,
"An all time classic, very rare to find similar places in Greek cities. Perfect grill, you have to try Kokoretsi, grilled lamp or goat and traditional cheese and salads. Absolute a must!",positive,5,15-Mar-17,"Classic old style grill ""souvla"" restaurant ",
"The best local tavern. Lamb & kokoretsi best dishes ever. Juicy, moist, tender and extraordinary taste. Prices are unbelievably cheap! A great local experience!",positive,5,13-Feb-17,The best local tavern.,
Previously I visited Adamos you definitely feel the culture and the preservation of tradition in this restaurant.  They have amazing food its a must to visit for tourist.  Me myself love the place ambiance and food.  But this time since the weather was not that...More,positive,5,15-Feb-19,Delivery from Adamos,
"Amazing food, a representative example of the good Greek cuisine. Very neat environment and great service! Must stop for whoever passes by from Larissa!",positive,5,21-Nov-18,Great food!,
"to have lunch in this restaurant where you can feel that they respect themselves and the client.Everything was great,Really.I will definatelly go again when i visit this area in the future.",positive,5,18-Oct-18,Great idea,
"The lamb was great and very tender. Keep in mind that in Larissa apparently they use vinegar in the ""Greek salad"" so if you are not a fan then you should let the waiters know beforehand. The staff very welcoming and nice. Truly a great...More",positive,5,23-Sep-18,Great lamb and kontosouvli,
"One of the best places in Larissa to try the local cuisine, and have a first hand experience of the art of grilled chicken and meat.",positive,5,30-Jun-18,Simply amazing!!!,
"Best meat ever! Roasted chicken, perfect lamp, kontosouvli, kokoretsi and all the traditional grilled meat!",positive,5,3-Mar-18,Restaurant,
During my visit to Larissa I looked at my trusty trip advisor app and saw that this establishment was #1 so had to make it part of my visit. I had a difficult time finding at first because it's located more in an alley way...More,positive,4,25-Jul-17,Meat by the Kilo!,
When you are hungry you can get there and have some good quality piece of meat along with the soft drink that you desire.,positive,4,10-Jul-17,tasty,
"An all time classic, very rare to find similar places in Greek cities. Perfect grill, you have to try Kokoretsi, grilled lamp or goat and traditional cheese and salads. Absolute a must!",positive,5,15-Mar-17,"Classic old style grill ""souvla"" restaurant ",
"The best local tavern. Lamb & kokoretsi best dishes ever. Juicy, moist, tender and extraordinary taste. Prices are unbelievably cheap! A great local experience!",positive,5,13-Feb-17,The best local tavern.,
"Just perfect!
Very nice place with excelent food
Good drinks and coctails
Very good servive
All Day bar - restaurant",positive,5,14-Jun-19,Just perfect,
